step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
52,CASH_OUT,25495.989350654723,C243918294,21383.330422751806,0.0,C283779209,383.50869819121573,25879.49804884594,0,0
93,CASH_IN,11767.012546153877,C312457910,170905.5881605185,159138.5756143646,C519231774,33270.480833657275,45037.49337981115,0,0
15,CASH_OUT,5932.145980635875,C415478443,45114.78353247221,39182.637551836335,C926675422,172208.42718275526,178140.57316339112,0,0
72,DEBIT,4234.633011582493,C670064080,21606.984579498247,17372.351567915754,C161245705,342430.5219338471,346665.1549454296,0,0
61,PAYMENT,22180.433953240383,C791672564,45426.39543886063,23245.961485620246,M772326937,42992.90801288138,65173.34196612176,0,0
21,PAYMENT,18.03249331459699,C157512521,24150.383403416545,24132.350910101948,M464495635,16866.108295217033,16884.14078853163,0,0
83,PAYMENT,32796.72587379743,C902204898,73281.92902269737,40485.203148899935,M597535356,261507.13433395958,294303.860207757,0,0
87,CASH_OUT,1661.3259177227512,C528478838,110349.23351621082,108687.90759848808,C697140011,1639.2417594001615,3300.5676771229128,0,0
75,CASH_OUT,4261.235103191076,C215239859,160722.72437596304,156461.48927277196,C911247677,264973.71242313,269234.94752632105,0,0
75,TRANSFER,9772.908672005708,C943866204,25820.357158299918,16047.44848629421,C769498056,28109.414351099458,37882.323023105164,0,0
88,TRANSFER,13276.282482322638,C621481675,18266.6423098838,4990.35982756116,C998479174,51828.00971949375,65104.29220181639,0,0
24,PAYMENT,8779.947796670987,C394237760,1979.8116619477391,0.0,M125519639,25582.563771336885,34362.511568007874,0,0
3,TRANSFER,446801.3212182467,C269179456,25888.442498947694,0.0,C304905787,56827.84635965625,64572.052980913155,1,1
22,TRANSFER,66448.12119546894,C824147209,2419.572237100726,0.0,C944334419,320071.78871813975,386519.9099136087,0,0
53,TRANSFER,20530.978130581345,C586388625,42384.42806412136,21853.449933540018,C733966455,28438.122019268307,48969.10014984965,0,0
2,CASH_OUT,484.2374584870003,C277372462,15746.476899428393,15262.239440941394,C764166989,1028797.8762663681,1029282.1137248551,0,0
88,DEBIT,11258.551541792453,C575206977,86725.20229463979,75466.65075284734,C524609493,79231.04876826305,90489.6003100555,0,0
30,PAYMENT,41600.22284107295,C737257520,48406.48415432807,6806.26131325512,M159365903,510127.5776874015,551727.8005284745,0,0
38,TRANSFER,407197.4695614696,C612175559,9825.839670578032,0.0,C443245340,42152.37429054873,49337.52183053088,1,1
2,DEBIT,1996.6045727093024,C399898133,51060.308692347426,49063.704119638125,C294575775,41625.747963773116,43622.352536482416,0,0
64,DEBIT,28418.17566818388,C847472469,23489.75041254357,0.0,C712703698,166636.24619044052,195054.4218586244,0,0
60,PAYMENT,18638.78953474406,C819930905,113998.86597644961,95360.07644170555,M843254390,10385.032458950114,29023.821993694175,0,0
21,DEBIT,16903.94193803111,C433600473,45324.28704432374,28420.345106292632,C902447650,322893.0030693071,339796.9450073382,0,0
33,CASH_OUT,665083.671547347,C476915336,15903.091290081247,0.0,C207751466,115826.33575738047,116937.6397307745,1,1
76,DEBIT,3038.0660417905424,C873122964,43017.03843503103,39978.97239324048,C613953631,240259.59254985958,243297.6585916501,0,0
58,TRANSFER,19496.311395008972,C989648883,25409.042141146943,5912.730746137971,C329543798,38385.23560974965,57881.54700475863,0,0
22,PAYMENT,4669.429789988924,C275608766,158855.25462092963,154185.8248309407,M818814260,205644.19553100213,210313.62532099106,0,0
89,DEBIT,14036.413041098549,C442361194,409640.0295691671,395603.61652806855,C697135123,180315.23200427607,194351.6450453746,0,0
49,DEBIT,15753.95726257362,C435144325,2582.1923777786565,0.0,C544716243,281839.94093821035,297593.898200784,0,0
91,TRANSFER,6677.741340684848,C704518135,117124.79426944323,110447.05292875838,C992552825,70593.87579255282,77271.61713323767,0,0
59,PAYMENT,59304.42471721089,C678637325,30646.787062190633,0.0,M640284969,541107.3972892292,600411.8220064401,0,0
42,CASH_OUT,36972.0390714536,C381544774,6871.645669585548,0.0,C433538536,650388.6624585694,687360.701530023,0,0
92,CASH_OUT,837520.8072300379,C535815063,1445.5285622474848,0.0,C284736837,405178.0487568709,430817.621182942,1,1
60,PAYMENT,1634.0680592659796,C606524616,212871.3043057826,211237.2362465166,M910282862,169742.19588220216,171376.26394146815,0,0
80,DEBIT,2253.8989970817606,C837200714,43634.68307333295,41380.784076251184,C174500164,109044.86347557754,111298.7624726593,0,0
15,PAYMENT,13586.261957560348,C937369207,521101.958052148,507515.6960945876,M711432500,11948.39124218733,25534.653199747678,0,0
62,PAYMENT,3514.059463363285,C697707478,58407.247279562325,54893.18781619904,M812675250,588354.1539528092,591868.2134161724,0,0
62,PAYMENT,76587.05482353235,C728914543,20775.96818885185,0.0,M287003873,606401.8545228401,682988.9093463725,0,0
47,CASH_OUT,3461.866216607912,C725821171,150122.75198873092,146660.885772123,C249366533,3773.058162517681,7234.924379125593,0,0
62,PAYMENT,13377.836197372199,C820936821,261036.39786056857,247658.56166319636,M796076064,88287.13629042084,101664.97248779304,0,0
51,CASH_OUT,9064.941494098299,C279629222,169076.20241224396,160011.26091814565,C978824910,424113.33019071503,433178.2716848133,0,0
55,DEBIT,20408.966269956934,C164903427,136727.3349117249,116318.36864176797,C769415181,16861.63218498989,37270.59845494683,0,0
64,CASH_OUT,2773.102085082115,C520412607,40751.67530718702,37978.573222104904,C842094502,43772.141337648456,46545.24342273057,0,0
3,DEBIT,11263.484184311303,C160183753,6666.3832834717105,0.0,C912769342,769596.7669727283,780860.2511570397,0,0
51,DEBIT,6433.537111370391,C229568517,22476.90574338476,16043.368632014368,C382566916,375841.3604768278,382274.8975881982,0,0
7,CASH_OUT,43750.8067054659,C282301880,59205.42156023073,15454.614854764834,C349171443,486228.04972130957,529978.8564267755,0,0
21,TRANSFER,838.6459504845343,C482179485,312811.8493896469,311973.20343916235,C356396408,30666.234162877587,31504.88011336212,0,0
73,CASH_IN,49014.88636107594,C449568757,128321.14841441825,79306.2620533423,C146519129,47477.89866081604,96492.78502189199,0,0
39,TRANSFER,755575.830166369,C656969581,176190.77691177884,0.0,M970773999,185984.94290754577,221789.47028147161,1,1
18,CASH_IN,7074.210936277699,C149102946,32475.263587826557,25401.05265154886,C311428816,139325.93588629778,146400.14682257548,0,0
4,PAYMENT,31155.512109272655,C692283888,115145.31824548298,83989.80613621033,M583026026,70907.84254658221,102063.35465585487,0,0
89,PAYMENT,644.221677756313,C862144234,198368.15966931917,197723.93799156285,M192485614,430568.1925303042,431212.4142080605,0,0
60,DEBIT,68153.6352239397,C762261961,65279.540517682486,0.0,C752431539,463313.71258780046,531467.3478117401,0,0
14,PAYMENT,14966.077975890601,C788644729,56192.921725448876,41226.84374955828,M242539791,68972.99430087054,83939.07227676114,0,0
9,PAYMENT,7237.462866144148,C635723516,127084.11963746395,119846.6567713198,M428581474,33862.06794039741,41099.53080654156,0,0
90,CASH_OUT,9016.630800591161,C698023263,82077.98591298836,73061.3551123972,C173077669,32290.3517713513,41306.98257194246,0,0
53,CASH_IN,1384.2586447683605,C127566658,498658.9211540989,497274.6625093305,C454860340,132494.575054158,133878.83369892635,0,0
2,CASH_OUT,90852.99516024475,C706575833,55356.403804428825,0.0,C944761814,28524.45980182749,119377.45496207224,0,0
84,PAYMENT,811.6941849431163,C967383822,19351.591324407356,18539.89713946424,M387457868,128240.10432848406,129051.79851342717,0,0
92,DEBIT,21288.83379827491,C525956113,63853.59967539752,42564.76587712261,C133699552,123954.837035045,145243.67083331992,0,0
60,CASH_OUT,11704.321078572251,C877047922,26814.744589822803,15110.423511250552,C575103836,431023.13067237963,442727.4517509519,0,0
71,CASH_OUT,59495.76427064931,C510893970,82383.42126035146,22887.656989702147,C706447796,70255.17753602822,129750.94180667753,0,0
44,TRANSFER,5657.251331070885,C977739339,13444.265619959344,7787.014288888459,C845617761,164492.90262865872,170150.1539597296,0,0
8,PAYMENT,15199.450430215005,C670871639,299525.78570909996,284326.335278885,M833299041,272125.2170529232,287324.6674831382,0,0
